koi_dikco_msky,koi_dicco_msky,koi_fwm_srao,koi_max_mult_ev,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dicco_mdec,koi_ror,koi_prad,koi_dikco_mdec,koi_dicco_mra,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_ldm_coeff1,koi_max_sngle_ev,koi_period,koi_incl,koi_fwm_prao,koi_disposition_num
0.23,0.12,-0.15,25.599396,-0.33,0.09,32.1,-0.09,0.028938,2.32,-0.21,0.08,0,31.0,0,0.421,6.2514634,22.36646466,89.26,0.00016,2
0.038,0.195,0.147,712.5235,-0.53,-0.037,799.7,0.195,0.080543,9.73,-0.01,0.01,0,5.6364,0,0.4695,43.135384,1.625522174,89.22,-0.00134,2
0.08,0.913,-0.225,353.8584,-0.56,0.056,340.5,0.634,0.137595,13.6,0.057,0.656,0,77.9,0,0.3928,73.60154,19.620346923,89.66,-0.0108,1
0.583,0.61,32.76,12.162734,6.49,-0.004,14.2,0.0,0.194187,17.47,-0.017,0.0,0,2.28,1,0.3858,4.5001316,7.544039,58.94,0.0,0
0.3,0.29,-0.36,47.37303,0.28,-0.08,53.9,0.18,0.028718,2.57,0.29,0.23,0,22.57,0,0.4966,7.610865,9.02930689,89.94,-0.00038,2
0.053,0.075,0.088,589.42316,-0.11,-0.031,636.8,-0.022,0.118805,13.28,-0.042,-0.072,1,10.988,0,0.3928,76.945915,10.328035714,88.54,0.001,0
0.044,0.052,-0.232,115.57215,-0.442,0.031,138.8,-0.042,0.094044,8.9,-0.032,-0.031,0,125.8,0,0.4695,45.13809,143.2063047,89.83,-0.0003,2
0.7,0.8,0.3,11.552998,-0.34,-0.7,14.4,-0.22,0.007192,0.79,-0.04,-0.8,0,11.19,0,0.3928,2.6950479,6.164876,86.69,1.2e-05,2
0.078,0.016,-0.316,323.38303,-0.356,0.065,347.2,0.012,0.128744,12.19,0.042,-0.01,0,77.04,0,0.4695,88.82677,60.32494216,89.83,0.0011,2
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,11.6,0.0,0.02018,1.91,-0.017,0.0,0,44.2,0,0.4742,5.5897505,29.1598615,89.38,0.0,2
6.6,6.5,-2.91,32.004185,-3.71,-6.6,38.8,0.31,0.257087,25.69,0.18,-6.5,0,1.971,1,0.4191,7.5703845,1.540397253,51.56,0.00168,0
9.688,9.915,137.34,35.481506,-4.82,9.688,48.5,-0.051,0.021279,1.7,0.06,9.915,0,4.349,1,0.6323,4.439786,2.99025443,89.81,-0.07562,0
0.027,0.01,-0.31,1015.921,-0.482,0.024,1009.3,-0.004,0.115879,11.3,0.013,0.009,0,6.203,0,0.3342,62.03516,1.594745374,85.25,-0.0009,2
0.25,0.034,0.2,57.638233,0.15,0.058,70.6,0.001,0.028315,2.5,0.239,0.034,0,16.102,0,0.5256,7.252221,4.783002698,89.99,-0.00022,2
0.108,0.047,-0.05,70.729904,-0.1,0.004,78.5,0.01,0.041039,3.41,0.108,-0.046,0,38.91,0,0.5684,12.827003,20.50588921,89.62,0.00013,2
0.154,0.06,-0.59,58.181076,0.05,-0.15,71.6,0.05,0.037683,2.03,-0.039,0.026,0,12.4,0,0.2365,8.777286,3.340218842,87.85,0.00053,2
3.251,3.275,2.13,50.679256,4.56,1.599,64.9,2.917,0.295115,30.26,2.83,1.489,1,3.32,1,0.3588,7.337525,2.507089906,67.79,-0.002,0
0.17,0.56,-0.13,36.000114,0.19,0.14,46.1,-0.37,0.027096,3.12,0.1,0.42,0,33.12,0,0.4191,7.871079,18.64932728,89.86,-0.00068,2
0.7,0.59,0.26,33.185894,0.3,-0.7,50.6,-0.15,0.011136,1.7,0.0,-0.57,0,7.78,0,0.4213,5.743281,4.90144976,86.1,-5.6e-05,2
0.42,0.16,-0.58,24.258644,0.5,-0.06,28.5,0.03,0.024042,2.76,0.41,0.16,0,6.05,0,0.4191,4.4869766,9.75192101,80.97,-0.00013,2
0.41,0.47,0.14,32.640865,-0.07,0.26,39.7,-0.04,0.03498,4.02,0.31,0.47,0,24.9,0,0.4191,7.5526104,38.5576546,87.91,-0.00101,2
0.233,0.053,0.1332,2078.4102,-0.1522,0.032,1996.7,-0.052,0.13372,11.58,-0.231,-0.01,0,11.699,0,0.5167,162.61552,3.525632539,89.41,-0.00196,2
0.271,0.074,0.24,75.6448,-0.2,-0.003,76.8,0.004,0.080046,7.61,-0.271,0.074,0,49.31,0,0.4341,15.928789,34.84398644,88.92,-0.0012,1
0.159,0.117,0.11,106.29421,-0.12,0.082,113.2,0.077,0.046615,5.52,0.137,-0.089,0,15.0,0,0.381,13.618479,7.748094239,88.02,0.00054,2
0.36,0.23,-0.55,22.27284,0.67,-0.17,27.5,0.05,0.03141,1.8,0.32,-0.23,0,45.2,0,0.4768,5.809559,23.96793669,89.47,0.00068,2
0.94,0.6,-0.13,15.260293,1.06,-0.39,17.9,0.5,0.03178,1.82,0.85,-0.33,0,24.8,0,0.4768,3.484774,8.29561738,87.95,0.00013,2
0.78,0.082,-0.74,45.585175,-0.8,-0.588,56.4,-0.018,0.037204,2.1,-0.517,0.08,0,23.58,0,0.4262,6.7459397,8.11437482,88.61,0.00033,2
0.121,0.149,0.0081,1785.2972,0.0566,0.055,1300.0,0.148,0.27018,27.5,0.108,-0.018,1,78.037,0,0.4785,456.11786,38.036729482,89.63,0.033,0
0.126,0.098,-0.05,135.01852,0.06,-0.073,296.9,-0.098,0.333559,30.09,-0.103,0.007,0,1.354,0,0.2852,14.098484,4.64090031,19.01,-9e-05,1
11.23,11.17,1.64,98.60031,-9.57,1.06,138.2,-11.11,0.151387,13.65,-11.18,1.1,1,1.868,1,0.4526,14.434505,3.747838198,53.12,-0.000787,0
0.43,0.42,-0.21,66.187065,-0.06,0.19,107.4,0.24,0.018864,2.89,0.38,0.34,0,18.56,0,0.4213,11.163704,14.74914825,89.47,2.1e-05,2
0.02,0.13,-0.16,31.21894,-0.27,0.02,37.8,0.07,0.030952,3.38,0.0,0.1,0,39.183,0,0.4603,6.4162097,21.81295996,89.92,0.00016,2
0.07,0.016,-0.3,385.42834,-0.324,-0.025,389.0,0.006,0.121984,10.34,-0.065,-0.015,1,15.534,0,0.3556,47.533234,7.91936937,87.3,0.0003,0
0.583,0.61,-0.0005,19.2544115,-0.034,-0.004,89.6,0.0,0.673134,72.77,-0.017,0.0,0,2.891,0,0.3107,5.5897505,1.028436523,57.3,0.0,1
0.112,0.035,-0.39,170.02856,-0.008,-0.063,166.0,-0.034,0.12103,11.01,0.093,0.008,0,31.24,0,0.582,33.115784,15.37562369,88.73,-0.0008,2
0.26,0.2,-0.65,33.637074,-0.75,-0.11,39.3,0.2,0.026361,2.11,-0.24,-0.02,0,20.09,0,0.6188,7.0046763,8.10363271,89.87,0.00038,2
